transaction_id,user_id,amount,category,timestamp,location,device,is_fraud
a2aa1a11-eba4-4a5f-9251-163792c4ec4f,user_6,116.02,gaming,2025-12-05 23:10:55,DE,mobile,0
fc5b9ae8-c6b3-4051-9464-dcfab9e0b2f4,user_4,201.46,books,2025-12-05 23:10:55,CN,mobile,0
78e22ca7-21d9-4777-a479-4a72e1dcabf8,user_12,416.22,books,2025-12-05 23:10:55,US,mobile,0
5650a9c5-90a9-44aa-ab74-47f07d1d4a87,user_3,1594.67,clothing,2025-12-05 23:10:55,US,tablet,0
d6e44d67-706d-4fd3-bf38-4dbfdbe758ba,user_15,1691.85,books,2025-12-05 23:10:55,FR,mobile,0
265bb391-d431-4fe6-a928-91b1e008352c,user_17,403.72,electronics,2025-12-05 23:10:55,US,mobile,0
e618f045-dd11-4204-911b-0e7b3d93b4f5,user_18,1046.52,clothing,2025-12-05 23:10:55,DE,mobile,0
2ae680e8-8c56-482d-96b1-497ae9c8a6c4,user_16,1550.39,gaming,2025-12-05 23:10:55,US,tablet,0
32a26c46-272c-45b7-a28a-960d33e013ae,user_6,196.95,books,2025-12-05 23:10:55,DE,desktop,0
c8589a13-67af-4c58-a910-d0b9ef7ad58a,user_16,996.81,gaming,2025-12-05 23:10:55,FR,desktop,0
ef69297d-7ac1-493e-a4a2-0c872f92095a,user_18,595.67,clothing,2025-12-05 23:10:55,RU,desktop,0
a9dc826a-376a-4a0c-bb1b-f6d851248825,user_18,394.15,books,2025-12-05 23:10:55,US,desktop,0
49ef3d9e-df46-4018-8618-9bfe2dc8704b,user_4,1069.24,clothing,2025-12-05 23:10:55,US,tablet,0
72dfdf87-6721-4a1e-9b8b-b898dcb6ee66,user_14,1762.63,gaming,2025-12-05 23:10:55,FR,tablet,0
fe4a5c9f-761b-42b4-9a8f-dc2f5cb47cb4,user_2,428.1,electronics,2025-12-05 23:10:55,CN,mobile,0
b401dd22-7444-4bb7-bd26-edfd7ecf9e90,user_17,193.39,clothing,2025-12-05 23:10:55,CN,mobile,0
5f611673-dbc1-4a05-bf12-36b0365bcca2,user_20,1631.23,home,2025-12-05 23:10:55,DE,tablet,0
028f6e43-fc1b-4825-9452-d793fe6a7f94,user_5,585.43,gaming,2025-12-05 23:10:55,FR,tablet,0
64f3fce0-bb11-459b-aeef-6c989fb7e775,user_18,1751.04,home,2025-12-05 23:10:55,RU,mobile,0
7ae4247a-a85a-4060-92a4-760bbef0b9c5,user_13,281.85,gaming,2025-12-05 23:10:55,CN,desktop,0
1cd4c5d0-c9a6-4e28-b868-845c3c0b82e9,user_15,83.46,books,2025-12-05 23:10:55,FR,tablet,0
de165f19-9902-4362-8a35-a6d3a44f7e8a,user_4,1182.1,home,2025-12-05 23:10:55,FR,tablet,0
ce3d9f73-590c-4d33-bedf-f87585e07f0a,user_20,995.5,books,2025-12-05 23:10:55,DE,desktop,0
2450e8a3-c3fd-4728-ab45-b6166c24b70d,user_5,1408.0,books,2025-12-05 23:10:55,FR,desktop,0
72b73472-6a1e-48eb-b862-6ebc02ab352d,user_15,1363.65,gaming,2025-12-05 23:10:55,CN,mobile,0
86eda414-8d63-4aad-bfe9-8c971b4bb242,user_20,1861.96,clothing,2025-12-05 23:10:55,FR,desktop,0
d7ea7003-8d08-42e9-82c8-51c7b36ba1d0,user_16,865.07,clothing,2025-12-05 23:10:55,DE,mobile,0
41a96513-e763-4d71-b1f7-d3db298bb245,user_17,231.49,gaming,2025-12-05 23:10:55,US,mobile,0
176a7078-ebee-43ef-a429-3ce66e667263,user_11,1494.55,electronics,2025-12-05 23:10:55,RU,desktop,1
067904af-7c16-4478-84a7-592c07fe4552,user_9,776.51,electronics,2025-12-05 23:10:55,FR,mobile,0
e389e4ae-3d2a-413e-a1ff-bab03731c1d1,user_3,958.03,clothing,2025-12-05 23:10:55,RU,desktop,0
f07d3116-2b2e-4ca9-a225-5b1940aebce7,user_6,468.95,gaming,2025-12-05 23:10:55,FR,mobile,0
b217e122-3b68-42c8-94fc-9eb8291014a0,user_13,747.17,books,2025-12-05 23:10:55,DE,mobile,0
ec1286fc-d9f6-4810-9565-c8c370eb3f42,user_3,387.14,home,2025-12-05 23:10:55,RU,mobile,0
0f58c7f0-ed44-4a83-a201-b3b6d9eeec37,user_9,1315.77,books,2025-12-05 23:10:55,CN,mobile,0
